ticker,company_name
AAPU,Direxion Daily AAPL Bull 2X Shares
AAPW,Roundhill ETF Trust Roundhill AAPL WeeklyPay ETF
AAPX,ETF Opportunities Trust T-Rex 2X Long Apple Daily Target ETF
AAPY,Kurv Yield Premium Strategy Apple (AAPL) ETF
AAT,American Assets Trust
AAUC,Allied Gold Corporation Common Shares
AAUS,Alpha Architect US Equity ETF
AAVM,Alpha Architect Global Factor Equity ETF
AAXJ,iShares MSCI All Country Asia ex Japan ETF
AB,AllianceBernstein Holding L.P.  Units
ABAT,American Battery Technology Company - Common Stock
ABBV,AbbVie Inc. Common Stock
ABCB,Ameris Bancorp Common Stock
ABCL,AbCellera Biologics Inc. - Common Shares
ABCS,Alpha Blue Capital US Small-Mid Cap Dynamic ETF
ABEO,Abeona Therapeutics Inc. - Common Stock
ABEQ,Absolute Select Value ETF
ABEV,Ambev S.A. American Depositary Shares (Each representing 1 Common Share)
ABFL,Abacus FCF Leaders ETF
ABG,Asbury Automotive Group Inc Common Stock
ABI,VictoryShares Pioneer Asset-Based Income ETF
ABIG,Argent Large Cap ETF
ABLD,Abacus FCF Real Assets Leaders ETF
ABLG,Abacus FCF International Leaders ETF
ABLS,Abacus FCF ETF Trust Abacus FCF Small Cap Leaders ETF
ABLV,Able View Global Inc. - Class B Ordinary Shares
ABLVW,Able View Global Inc. - Warrant
ABM,ABM Industries Incorporated Common Stock
ABNB,Airbnb Inc
ABNY,Tidal Trust II YieldMax ABNB Option Income Strategy ETF
ABOT,Abacus FCF Innovation Leaders ETF
ABR,Arbor Realty Trust Common Stock
ABR$D,Arbor Realty Trust 6.375% Series D Cumulative Redeemable Preferred Stock
ABR$E,Arbor Realty Trust 6.25% Series E Cumulative Redeemable Preferred Stock
ABR$F,Arbor Realty Trust 6.25% Series F Fixed
ABSI,Absci Corporation - Common Stock
ABT,Abbott Laboratories Common Stock
ABTS,Abits Group Inc - Ordinary Shares
ABUS,Arbutus Biopharma Corporation - Common Stock
ABVE,Above Food Ingredients Inc. - Common Stock
ABVEW,Above Food Ingredients Inc. - Warrant
ABVX,Abivax SA - American Depositary Shares
ABXB,Abacus Flexible Bond Leaders ETF
AC,Associated Capital Group
ACA,Arcosa
ACAD,ACADIA Pharmaceuticals Inc. - Common Stock
ACB,Aurora Cannabis Inc. - Common Shares
ACCO,Acco Brands Corporation Common Stock
ACCS,ACCESS Newswire Inc. Common Stock
ACDC,ProFrac Holding Corp. - Class A Common Stock
ACEL,Accel Entertainment
ACES,ALPS Clean Energy ETF
ACGL,Arch Capital Group Ltd. - Common Stock
ACGR,American Century Large Cap Growth ETF
ACHR,Archer Aviation Inc. Class A Common Stock
ACHR.W,Archer Aviation Inc. Redeemable Warrants
ACI,Albertsons Companies
ACIC,American Coastal Insurance Corporation - Common Stock
ACIO,Aptus Collared Investment Opportunity ETF
ACIU,AC Immune SA - Common Stock
ACLC,American Century Large Cap Equity ETF
ACLO,TCW AAA CLO ETF
ACM,AECOM Common Stock
ACN,Accenture plc Class A Ordinary Shares (Ireland)
ACNB,ACNB Corporation - Common Stock
ACNT,Ascent Industries Co. - Common Stock
ACOG,Alpha Cognition Inc. - Common Stock
ACP,abrdn Income Credit Strategies Fund Common Shares
ACP$A,abrdn Income Credit Strategies Fund 5.250% Series A Perpetual Preferred Stock
ACR,ACRES Commercial Realty Corp. Common Stock
ACR$C,ACRES Commercial Realty Corp. 8.625% Fixed
ACR$D,ACRES Commercial Realty Corp. 7.875% Series D Cumulative Redeemable Preferred Stock
ACRE,Ares Commercial Real Estate Corporation Common Stock
ACSI,American Customer Satisfaction ETF
ACTG,Acacia Research Corporation - Common Stock
ACTV,LeaderShares Activist Leaders ETF
ACU,Acme United Corporation. Common Stock
ACV,Virtus Diversified Income & Convertible Fund Common Shares of Beneficial Interest
ACVA,ACV Auctions Inc. Class A Common Stock
ACVF,American Conservative Values ETF
ACVT,The RBB Fund Trust Advent Convertible Bond ETF
ACWI,iShares MSCI ACWI ETF
ACWV,iShares MSCI Global Min Vol Factor ETF
ACWX,iShares MSCI ACWI ex U.S. ETF
ADAP,Adaptimmune Therapeutics plc - American Depositary Shares
ADBE,Adobe Inc. - Common Stock
ADBG,Leverage Shares 2X Long ADBE Daily ETF
ADC,Agree Realty Corporation Common Stock
ADC$A,Agree Realty Corporation Depositary Shares
ADCT,ADC Therapeutics SA Common Shares
ADEA,Adeia Inc.  - Common Stock
ADFI,Anfield Dynamic Fixed Income ETF
ADIV,SmartETFs Asia Pacific Dividend Builder ETF
ADM,Archer
ADMA,ADMA Biologics Inc - Common Stock
ADME,Aptus Drawdown Managed Equity ETF
ADNT,Adient plc Ordinary Shares
ADPT,Adaptive Biotechnologies Corporation - Common Stock
ADPV,Series Portfolios Trust Adaptiv Select ETF
ADSE,ADS-TEC ENERGY PLC - Ordinary Shares
ADSEW,ADS-TEC ENERGY PLC - Warrant
ADT,ADT Inc. Common Stock
ADUR,Aduro Clean Technologies Inc. - Common Stock
ADUS,Addus HomeCare Corporation - Common Stock
ADV,Advantage Solutions Inc.  - Class A Common Stock
ADVB,Advanced Biomed Inc. - Common Stock
ADVE,Matthews International Funds Matthews Asia Dividend Active ETF
ADVWW,Advantage Solutions Inc.  - Warrant
ADX,Adams Diversified Equity Fund Inc.
ADXN,Addex Therapeutics Ltd - American Depositary Shares
AEBI,Aebi Schmidt Holding AG - Common Stock
AEE,Ameren Corporation Common Stock
AEFC,Aegon Funding Company LLC 5.10% Subordinated Notes due 2049
AEG,Aegon Ltd. New York Registry Shares
AEHL,Antelope Enterprise Holdings Limited - Class A Ordinary Shares
AEHR,Aehr Test Systems - Common Stock
AEI,Alset Inc. - Common Stock
AEM,Agnico Eagle Mines Limited Common Stock
AEMS,Two Roads Shared Trust Anfield Enhanced Market ETF
AENT,Alliance Entertainment Holding Corporation - common stock
AENTW,Alliance Entertainment Holding Corporation - Warrants
AER,AerCap Holdings N.V. Ordinary Shares
AES,The AES Corporation Common Stock
AESI,Atlas Energy Solutions Inc. Common Stock
AESR,Anfield U.S. Equity Sector Rotation ETF
AETH,Bitwise Trendwise Ether and Treasuries Rotation Strategy ETF
AFB,AllianceBernstein National Municipal Income Fund Inc
AFCG,Advanced Flower Capital Inc. - Common Stock
AFIF,Anfield Universal Fixed Income ETF
AFIX,Allspring Exchange-Traded Funds Trust Allspring Broad Market Core Bond ETF
AFK,VanEck Africa Index ETF
AFL,AFLAC Incorporated Common Stock
AFLG,First Trust Active Factor Large Cap ETF
AFMC,First Trust Active Factor Mid Cap ETF
AFOS,ARS Focused Opportunity Strategy ETF
AFRI,Forafric Global PLC - Ordinary Shares
AFRIW,Forafric Global PLC - Warrants
AFSC,abrdn Focused U.S. Small Cap Active ETF
AFSM,First Trust Active Factor Small Cap ETF
AFYA,Afya Limited - Class A Common Shares
AG,First Majestic Silver Corp. Ordinary Shares (Canada)
AGAE,Allied Gaming & Entertainment Inc. - Common Stock
AGCO,AGCO Corporation Common Stock
AGD,abrdn Global Dynamic Dividend Fund Common Shares of Beneficial Interest
AGEM,abrdn Emerging Markets Dividend Active ETF
AGEN,Agenus Inc. - Common Stock
AGFY,Agrify Corporation - Common Stock
AGG,iShares Core U.S. Aggregate Bond ETF
AGGA,Astoria Dynamic Core US Fixed Income ETF
AGGH,Simplify Aggregate Bond ETF
AGGS,Harbor ETF Trust Harbor Disciplined Bond ETF
AGGY,WisdomTree Yield Enhanced U.S. Aggregate Bond Fund
AGH,Aureus Greenway Holdings Inc. - Common Stock
AGI,Alamos Gold Inc. Class A Common Shares
AGIH,iShares U.S. ETF Trust iShares Inflation Hedged U.S. Aggregate Bond ETF
AGIX,KraneShares Artificial Intelligence & Technology ETF
AGM,Federal Agricultural Mortgage Corporation Common Stock
AGM.A,Federal Agricultural Mortgage Corporation Common Stock
AGMH,AGM Group Holdings Inc. - Class A Ordinary Shares
AGMI,Themes Silver Miners ETF
AGNC,AGNC Investment Corp. - Common Stock
AGNCM,AGNC Investment Corp. - Depositary Shares rep 6.875% Series D Fixed-to-Floating Cumulative Redeemable Preferred Stock
AGNG,Global X Aging Population ETF
AGO,Assured Guaranty Ltd. Common Stock
AGOX,Adaptive Alpha Opportunities ETF
AGQ,ProShares Ultra Silver
AGQI,First Trust Exchange-Traded Fund VIII First Trust Active Global Quality Income ETF
AGRH,iShares U.S. ETF Trust iShares Interest Rate Hedged U.S. Aggregate Bond ETF
AGRI,AgriFORCE  Growing Systems Ltd. - Common Shares
AGRO,Adecoagro S.A. Common Shares
AGRW,Allspring Exchange-Traded Funds Trust Allspring LT Large Growth ETF
AGZ,iShares  Agency Bond ETF
AGZD,WisdomTree Interest Rate Hedged U.S. Aggregate Bond Fund
AHCO,AdaptHealth Corp.  - Common Stock
AHG,Akso Health Group - American Depositary Shares
AHL,Aspen Insurance Holdings Limited Class A Ordinary Shares
AHL$D,Aspen Insurance Holdings Limited 5.625% Perpetual Non-Cumulative Preference Shares
AHLT,American Beacon Select Funds American Beacon AHL Trend ETF
AHT,Ashford Hospitality Trust Inc Common Stock
AHT$D,Ashford Hospitality Trust Inc 8.45% Series D Cumulative Preferred Stock
AHT$F,Ashford Hospitality Trust Inc 7.375% Series F Cumulative Preferred Stock
AHT$G,Ashford Hospitality Trust Inc 7.375% Series G Cumulative Preferred Stock
AHT$H,Ashford Hospitality Trust Inc 7.50% Series H Cumulative Preferred Stock
AHT$I,Ashford Hospitality Trust Inc 7.50% Series I Cumulative Preferred Stock
AHYB,American Century Select High Yield ETF
AIA,iShares Asia 50 ETF
AIBD,Direxion Shares ETF Trust Direxion Daily AI and Big Data Bear 2X Shares
AIBU,Direxion Shares ETF Trust Direxion Daily AI and Big Data Bull 2X Shares
AIEQ,Amplify ETF Trust Amplify AI Powered Equity ETF
AIFD,TCW Artificial Intelligence ETF
AIFU,AIFU Inc. - Class A Ordinary Share
AIHS,Senmiao Technology Limited - Common Stock
AIM,AIM ImmunoTech Inc. Common Stock
AIN,Albany International Corporation Common Stock
AINP,Allspring Exchange-Traded Funds Trust Allspring Income Plus ETF
AIO,Virtus Artificial Intelligence & Technology Opportunities Fund Common Shares of Beneficial Interest
AIOO,AIM ETF Products Trust AllianzIM U.S. Equity Buffer100 Protection ETF
AIPI,REX AI Equity Premium Income ETF
AIPO,Defiance AI & Power Infrastructure ETF
AIQ,Global X Artificial Intelligence & Technology ETF
AIR,AAR Corp. Common Stock
AIRE,reAlpha Tech Corp. - Common Stock
AIRI,Air Industries Group Common Stock
AIRJ,AirJoule Technologies Corporation - Class A Common Stock
AIRJW,AirJoule Technologies Corporation - Warrant
AIRL,Themes Airlines ETF
AIRR,First Trust RBA American Industrial Renaissance ETF
AIS,Tidal Trust III VistaShares Artificial Intelligence Supercycle ETF
AIV,Apartment Investment and Management Company Common Stock
AIVC,Amplify Bloomberg AI Value Chain ETF
AIVI,WisdomTree International AI Enhanced Value Fund
AIVL,WisdomTree U.S. AI Enhanced Value Fund
AIXI,XIAO-I Corporation - American Depositary Shares
AIYY,Tidal Trust II YieldMax AI Option Income Strategy ETF
AJAN,Innovator ETFs Trust Innovator Equity Defined Protection ETF - 2 Yr to January 2026
AJG,Arthur J. Gallagher & Co. Common Stock
AJUL,SHL Telemedicine Ltd Innovator Equity Defined Protection ETF - 2 Yr to July 2026
AKA,a.k.a. Brands Holding Corp. Common Stock
AKAF,ETF Series Solutions The Frontier Economic Fund
AKAN,Akanda Corp. - Common Shares
AKO.A,Embotelladora Andina S.A. Common Stock
AKO.B,Embotelladora Andina S.A. Common Stock
AKR,Acadia Realty Trust Common Stock
AKTX,Akari Therapeutics Plc - American Depositary Shares
AL,Air Lease Corporation Class A Common Stock
ALAI,The Alger ETF Trust Alger AI Enablers & Adopters ETF
ALAR,Alarum Technologies Ltd. - American Depositary Shares
ALB,Albemarle Corporation Common Stock
ALB$A,Albemarle Corporation Depositary Shares each representing a 1/20th of 7.25% Series A Mandatory Convertible Preferred Stock
ALBT,Avalon GloboCare Corp. - Common Stock
ALC,Alcon Inc. Ordinary Shares
ALCY,Alchemy Investments Acquisition Corp 1 - Class A Ordinary Shares
ALCYU,Alchemy Investments Acquisition Corp 1 - Units
ALCYW,Alchemy Investments Acquisition Corp 1 - Warrants
ALDF,Aldel Financial II Inc. - Class A Ordinary Shares
ALDFU,Aldel Financial II Inc. - Units
ALDFW,Aldel Financial II Inc. - Warrants
ALF,Centurion Acquisition Corp. - Class A Ordinary Shares
ALFUU,Centurion Acquisition Corp. - Unit
ALFUW,Centurion Acquisition Corp. - Warrant
ALGT,Allegiant Travel Company - Common Stock
ALIL,Argent Focused Small Cap ETF
ALKS,Alkermes plc - Ordinary Shares
ALL,Allstate Corporation (The) Common Stock
ALL$B,Allstate Corporation (The) 5.100% Fixed-to-Floating Rate Subordinated Debentures due 2053
ALLE,Allegion plc Ordinary Shares
ALLT,Allot Ltd. - Ordinary Shares
ALLW,SPDR Bridgewater All Weather ETF
ALLY,Ally Financial Inc. Common Stock
ALM,Almonty Industries Inc. - Common Shares
ALMS,Alumis Inc. - Common Stock
ALNT,Allient Inc. - Common Stock
ALRG,Allspring Exchange-Traded Funds Trust Allspring LT Large Core ETF
ALRS,Alerus Financial Corporation - Common Stock
ALTG,Alta Equipment Group Inc. Class A Common Stock
ALTG$A,Alta Equipment Group Inc. Depositary Shares (each representing 1/1000th in a share of 10% Series A Cumulative Perpetual Preferred Stock)
ALTL,Pacer Lunt Large Cap Alternator ETF
ALTS,ALT5 Sigma Corporation - Common Stock
ALTY,Global X Alternative Income ETF
ALVO,Alvotech - Ordinary Shares
ALVOW,Alvotech - Warrant
ALXO,ALX Oncology Holdings Inc. - Common Stock
AM,Antero Midstream Corporation Common Stock
AMAL,Amalgamated Financial Corp. - Common Stock
AMAX,Adaptive Hedged Multi-Asset Income ETF
AMBI,Ambipar Emergency Response Class A Ordinary Shares
AMBO,Ambow Education Holding Ltd. American Depository Shares (each representing twenty (20) Class A Ordinary Shares)
AMBP,Ardagh Metal Packaging S.A. Ordinary Shares
AMBR,Amber International Holding Limited - American Depositary Shares
AMCR,Amcor plc Ordinary Shares
AMCX,AMC Networks Inc. - Class A Common Stock
AMDD,Direxion Daily AMD Bear 1X Shares
AMDG,Leverage Shares 2X Long AMD Daily ETF
AMDL,GraniteShares 2x Long AMD Daily ETF
AMDW,Roundhill ETF Trust Roundhill AMD WeeklyPay ETF
AMDY,Tidal Trust II Yieldmax AMD Option Income Strategy ETF
AMED,Amedisys Inc - Common Stock
AMGN,Amgen Inc. - Common Stock
AMH,American Homes 4 Rent Common Shares of Beneficial Interest
AMH$G,American Homes 4 Rent Series G cumulative redeemable perpetual preferred shares of beneficial interest
AMH$H,American Homes 4 Rent Series H cumulative redeemable perpetual Preferred Shares of Beneficial Interest
AMID,Argent Mid Cap ETF
AMLP,Alerian MLP ETF
AMN,AMN Healthcare Services Inc
AMOM,QRAFT AI-Enhanced U.S. Large Cap Momentum ETF
AMPY,Amplify Energy Corp. Common Stock
AMRN,Amarin Corporation plc - American Depositary Shares
AMRZ,Amrize Ltd Ordinary Shares
AMS,American Shared Hospital Services Common Stock
AMSC,American Superconductor Corporation - Common Stock
AMST,Amesite Inc. - Common Stock
AMT,American Tower Corporation (REIT) Common Stock
AMTB,Amerant Bancorp Inc. Class A Common Stock
AMUU,Direxion Daily AMD Bull 2X Shares
AMWD,American Woodmark Corporation - Common Stock
AMWL,American Well Corporation Class A Common Stock
AMZA,InfraCap MLP ETF
AMZD,Direxion Daily AMZN Bear 1X Shares
AMZN,Amazon.com Inc. Common Stock
AMZP,Kurv Yield Premium Strategy Amazon (AMZN) ETF
AMZU,Direxion Daily AMZN Bull 2X Shares
AMZW,Roundhill ETF Trust Roundhill AMZN WeeklyPay ETF
AMZY,Tidal ETF Trust II YieldMax AMZN Option Income Strategy ETF
AMZZ,GraniteShares 2x Long AMZN Daily ETF
ANEW,ProShares MSCI Transformational Changes ETF
ANF,Abercrombie & Fitch Company Common Stock
ANGH,Anghami Inc. - Ordinary Shares
ANGHW,Anghami Inc. - Warrants
ANGI,Angi Inc. - Class A Common Stock
ANGL,VanEck Fallen Angel High Yield Bond ETF
ANIK,Anika Therapeutics Inc. - Common Stock
ANL,Adlai Nortye Ltd. - American Depositary Shares
ANPA,Rich Sparkle Holdings Limited - Ordinary Shares
ANSC,Agriculture & Natural Solutions Acquisition Corporation - Class A Ordinary Shares
ANSCU,Agriculture & Natural Solutions Acquisition Corporation - Unit
ANSCW,Agriculture & Natural Solutions Acquisition Corporation - Warrant
ANTA,Antalpha Platform Holding Company - Ordinary Shares
ANTE,AirNet Technology Inc. - Ordinary Share
ANY,Sphere 3D Corp. - Common Shares
AOA,iShares Core 80/20 Aggressive Allocation ETF
AOCT,Innovator Equity Defined Protection ETF - 2 Yr to October 2026
AOD,abrdn Total Dynamic Dividend Fund Common Shares of Beneficial Interest
AOHY,Angel Oak High Yield Opportunities ETF
AOK,iShares Core 30/70 Conservative Allocation ETF
AOM,iShares Core 40/60 Moderate Allocation ETF
AON,Aon plc Class A Ordinary Shares (Ireland)
AOR,iShares Core 60/40 Balanced Allocation ETF
AOS,A.O. Smith Corporation Common Stock
AOSL,Alpha and Omega Semiconductor Limited - Common Shares
AOTG,AOT Growth and Innovation ETF
AP,Ampco-Pittsburgh Corporation Common Stock
APA,APA Corporation - Common Stock
APADU,A Paradise Acquisition Corp. - Unit
APAM,Artisan Partners Asset Management Inc. Class A Common Stock
APCB,Trust for Professional Managers ActivePassive Core Bond ETF
APED,STKd 100% MSTR & 100% COIN ETF
APG,APi Group Corporation Common Stock
APH,Amphenol Corporation Common Stock
APIE,Trust for Professional Managers ActivePassive International Equity ETF
APLD,Applied Digital Corporation - Common Stock
APLM,Apollomics Inc. - Class A Ordinary Shares
APLMW,Apollomics Inc. - Warrant
APLU,Allspring Exchange-Traded Funds Trust Allspring Core Plus ETF
APLY,Tidal ETF Trust II YieldMax AAPL Option Income Strategy ETF
APM,Aptorum Group Limited - Class A Ordinary Shares
APMU,Trust for Professional Managers ActivePassive Intermediate Municipal Bond ETF
APOC,Innovator Equity Defined Protection ETF - 6mo Apr/Oct
APP,Applovin Corporation - Class A Common Stock
APPN,Appian Corporation - Class A Common Stock
APPX,Tradr 2X Long APP Daily ETF
APRH,Innovator ETFs Trust Innovator Premium Income 20 Barrier ETF - April
APRJ,Innovator ETFs Trust Innovator Premium Income 30 Barrier ETF - April
APRP,PGIM S&P 500 Buffer 12 ETF - April
APRT,AllianzIM U.S. Large Cap Buffer10 Apr ETF
APRW,AllianzIM U.S. Large Cap Buffer20 Apr ETF
APRZ,TrueShares Structured Outcome (April) ETF
APTV,Aptiv PLC Ordinary Shares
APUE,Trust for Professional Managers ActivePassive U.S. Equity ETF
APVO,Aptevo Therapeutics Inc. - Common Stock
APXM,First Trust Exchange-Traded Fund VIII FT Vest U.S. Equity Max Buffer ETF - April
APYX,Apyx Medical Corporation - Common Stock
AQLT,iShares Trust iShares MSCI Global Quality Factor ETF
AQN,Algonquin Power & Utilities Corp. Common Shares
AQWA,Global X Clean Water ETF
AR,Antero Resources Corporation Common Stock
ARAI,Arrive AI Inc. - Common Stock
ARAY,Accuray Incorporated - Common Stock
ARB,AltShares Merger Arbitrage ETF
ARBB,ARB IOT Group Limited - Ordinary Shares
ARBE,Arbe Robotics Ltd. - Ordinary Shares
ARBEW,Arbe Robotics Ltd. - Warrant
ARBK,Argo Blockchain plc - American Depositary Shares
ARBKL,Argo Blockchain plc - 8.75% Senior Notes due 2026
ARCB,ArcBest Corporation - Common Stock
ARCC,Ares Capital Corporation - Closed End Fund
ARCM,Arrow Reserve Capital Management ETF
ARCO,Arcos Dorados Holdings Inc. Class A Shares
ARCT,Arcturus Therapeutics Holdings Inc. - Common Stock
ARCX,Tradr 2X Long QBTS Daily ETF Tradr 2X Long ACHR Daily ETF
AREA,Harbor ETF Trust Harbor AlphaEdge Next Generation REITs ETF
AREC,American Resources Corporation - Class A Common Stock
ARES,Ares Management Corporation Class A Common Stock
ARES$B,Ares Management Corporation 6.75% Series B Mandatory Convertible Preferred Stock
ARGT,Global X MSCI Argentina ETF
ARGX,argenx SE - American Depositary Shares
ARKA,EA Series Trust ARK 21Shares Active Bitcoin Futures Strategy ETF
ARKB,ARK 21Shares Bitcoin ETF Common Shares of Beneficial Interests
ARKD,EA Series Trust ARK 21Shares Blockchain and Digital Economy Innovation ETF
ARKF,ARK Fintech Innovation ETF
ARKG,ARK Genomic Revolution ETF
ARKK,ARK Innovation ETF
ARKO,ARKO Corp. - Common Stock
ARKOW,ARKO Corp. - Warrant
ARKQ,ARK Autonomous Technology & Robotics ETF
ARKR,Ark Restaurants Corp. - Common Stock
ARKW,ARK Next Generation Internet ETF
ARKX,ARK Space Exploration & Innovation ETF
ARKZ,EA Series Trust ARK 21Shares Active Ethereum Futures Strategy ETF
ARLU,SHL Telemedicine Ltd AllianzIM U.S. Equity Buffer15 Uncapped Apr ETF
ARM,Arm Holdings plc - American Depositary Shares
ARMG,Leverage Shares 2X Long ARM Daily ETF
ARMH,Precidian ETFs Trust Arm Holdings PLC ADRhedged
ARMK,Aramark Common Stock
ARMN,Aris Mining Corporation Common Shares
ARMU,ETF Opportunities Trust T-REX 2X Long ARM Daily Target ETF
AROW,Arrow Financial Corporation - Common Stock
ARP,The Advisors Inner Circle Fund II PMV Adaptive Risk Parity ETF
ARQQ,Arqit Quantum Inc. - Ordinary Shares
ARQQW,Arqit Quantum Inc. - Warrants
ARTNA,Artesian Resources Corporation - Class A Non-Voting Common Stock
ARTY,iShares Future AI & Tech ETF
ARVR,First Trust Indxx Metaverse ETF
ARX,Accelerant Holdings Class A Common Shares
ASA,ASA  Gold and Precious Metals Limited
ASB,Associated Banc-Corp Common Stock
ASBA,Associated Banc-Corp 6.625% Fixed-Rate Reset Subordinated Notes due 2033
ASC,Ardmore Shipping Corporation Common Stock
ASCE,Allspring Exchange-Traded Funds Trust Allspring SMID Core ETF
ASEA,Global X FTSE Southeast Asia ETF
ASET,FlexShares Real Assets Allocation Index Fund
ASGI,abrdn Global Infrastructure Income Fund Common Shares of Beneficial Interest
ASGM,Virtus ETF Trust II Virtus AlphaSimplex Global Macro ETF
ASGN,ASGN Incorporated Common Stock
ASH,Ashland Inc. Common Stock
ASHR,Xtrackers Harvest CSI 300 China A-Shares ETF
ASHS,Xtrackers Harvest CSI 500 China A-Shares Small Cap ETF
ASIA,Matthews International Funds Matthews Pacific Tiger Active ETF
ASIC,Ategrity Specialty Insurance Company Holdings Common Stock
ASIX,AdvanSix Inc. Common Stock
ASLE,AerSale Corporation - Common Stock
ASLV,Allspring Exchange-Traded Funds Trust Allspring Special Large Value ETF
ASM,Avino Silver & Gold Mines Ltd. Common Shares (Canada)
ASMF,Virtus ETF Trust II Virtus AlphaSimplex Managed Futures ETF
ASMG,Leverage Shares 2X Long ASML Daily ETF
ASMH,Precidian ETFs Trust ASML Holding NV ADRhedged
ASML,ASML Holding N.V. - New York Registry Shares
ASND,Ascendis Pharma A/S - American Depositary Shares
ASPC,A SPAC III Acquisition Corp. - Class A Ordinary Shares
ASPCR,A SPAC III Acquisition Corp. - Right
ASPCU,A SPAC III Acquisition Corp. - Unit
ASPI,ASP Isotopes Inc. - Common Stock
ASPS,Altisource Portfolio Solutions S.A. - Common Stock
ASPSW,Altisource Portfolio Solutions S.A. - Net Settle Stakeholder Warrants
ASPSZ,Altisource Portfolio Solutions S.A. - Cash Exercise Stakeholder Warrants
ASRV,AmeriServ Financial Inc. - Common Stock
ASST,Asset Entities Inc. - Class B Common Stock
ASTC,Astrotech Corporation - Common Stock
ASTH,Astrana Health Inc. - Common Stock
ASTL,Algoma Steel Group Inc. - Common Shares
ASTLW,Algoma Steel Group Inc. - Warrant
ASTS,AST SpaceMobile Inc. - Common Stock
ASTX,Tradr 2X Long ASTS Daily ETF
ASUR,Asure Software Inc - Common Stock
ATAI,ATAI Life Sciences N.V. - Common Shares
ATAT,Atour Lifestyle Holdings Limited - American Depositary Shares
ATCO$H,Atlas Corp. 7.875% Series H
ATEX,Anterix Inc. - Common Stock
ATFV,Alger 35 ETF
ATGE,Adtalem Global Education Inc. Common Stock
ATGL,Alpha Technology Group Limited - Class A Ordinary Shares
ATHE,Alterity Therapeutics Limited - American Depositary Shares
ATHS,Athene Holding Ltd. 7.250% Fixed-Rate Reset Junior Subordinated Debentures due 2064
ATI,ATI Inc. Common Stock
ATII,Archimedes Tech SPAC Partners II Co. - Ordinary Shares
ATIIU,Archimedes Tech SPAC Partners II Co. - Unit
ATIIW,Archimedes Tech SPAC Partners II Co. - Warrant
ATKR,Atkore Inc. Common Stock
ATLC,Atlanticus Holdings Corporation - Common Stock
ATLCL,Atlanticus Holdings Corporation - 6.125% Senior Notes due 2026
ATLCZ,Atlanticus Holdings Corporation - 9.25% Senior Notes due 2029
ATLN,Atlantic International Corp. - Common Stock
ATLO,Ames National Corporation - Common Stock
ATLX,Atlas Lithium Corporation - Common Stock
ATMC,AlphaTime Acquisition Corp - Ordinary Shares
ATMCR,AlphaTime Acquisition Corp - Right
ATMCU,AlphaTime Acquisition Corp - Unit
ATMCW,AlphaTime Acquisition Corp - Warrant
ATMP,iPath Select MLP ETN
ATMU,Atmus Filtration Technologies Inc. Common Stock
ATMV,AlphaVest Acquisition Corp - Ordinary Shares
ATMVR,AlphaVest Acquisition Corp - Right
ATMVU,AlphaVest Acquisition Corp - Unit
